CIR,LSV,ART,APT,OPC,PTOS,CALIF,INFRACCION,MULTA,RESPONSABILIDAD,COMENTARIO,MATERIA
CIR  Art. 052 Apt. 1 Opc. 5K,LSV  Art. 021 Apt. 2 Opc. 5K,52021,12,5K,"
0, 2, 4, 6",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","

SIN REDUC.",CONDUCTOR,"NOTA: SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOPISTA Y AUTOVÍA DE ACCESO A LAS CIUDADES. IMPORTE
VARIABLE ENTRE 100 Y 500 EUROS.","
VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5L,LSV  Art. 021 Apt. 2 Opc. 5L,52021,12,5L,"

0, 2, 4, 6","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.",SIN REDUC.,CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (SÓLO PARA CASOS DETECTADOS EN TRAMOS DE AUTOPISTA Y AUTOVÍA DE ACCESO A LAS CIUDADES). IMPORTE VARIABLE ENTRE 100 Y 500 EUROS.","

VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5M,LSV  Art. 021 Apt. 2 Opc. 5M,52021,12,5M,"
0, 2, 4, 6",GRAVE 076.- A),"CIRCULAR A ... KM/H, ESTANDO LIMITADA LA VELOCIDAD A ... KM/H.","100.0

50.0",CONDUCTOR,,"
VELOCIDAD"
CIR  Art. 052 Apt. 1 Opc. 5N,LSV  Art. 021 Apt. 2 Opc. 5N,52021,12,5N,"

0, 2, 4, 6","
GRAVE 076.- A)","CIRCULAR EN EL TRAMO RESEÑADO A UNA VELOCIDAD MEDIA DE ...
KM/H, ESTANDO LIMITADA LA
VELOCIDAD A ... KM/H.","
100.0

50.0",CONDUCTOR,"NOTA: VELOCIDAD MEDIA EN
TRAMO DE VÍA (TANTO PARA AUTOPISTA O AUTOVÍA CON ACCESOS COMO PARA OTROS LUGARES EN QUE ESE DETECTE LA INFRACCIÓN)",VELOCIDAD
CIR  Art. 052 Apt. 2 Opc. 5B,LSV  Art. 021 Apt. 2 Opc. 5B,52021,22,5B,"

0","

LEVE","NO LLEVAR EN LA PARTE POSTERIOR DEL VEHÍCULO VISIBLE EN TODO MOMENTO, LA SEÑAL DE LIMITACIÓN DE VELOCIDAD V-4 (VEHÍCULOS ESPECIALES Y CONJUNTO DE VEHÍCULOS, VEHÍCULOS EN RÉGIMEN DE TRANSPORTE ESPECIAL Y PARA DETERMINADOS CONDUCTORES EN RAZÓN A SUS CIRCUNSTANCIAS
PERSONALES)	","
100.0

50.0",CONDUCTOR,"
NOTA: AUNQUE SÓLO TENGA TAL NATURALEZA ESPECIAL UNO DE LOS VEHÍCULOS QUE FORMA EL CONJUNTO. CÓDIGO-PRECEPTO APLICABLE, SALVO INCUMPLIMIENTO ESPECÍFICO DE NORMAS O CONDICIONES DE UNA AUTORIZACIÓN COMPLEMENTARIA DE CIRCULACIÓN, EN CUYO CASO SE ENTENDERÍA VULNERADO EL ART. 14.2 RGV.",SEÑALIZACI ÓN
CIR  Art. 053 Apt. 1 Opc. 5A,LSV  Art. 022 Apt. 1 Opc. 5A,53022,11,5A,"
0",GRAVE 076.- M),"

REDUCIR CONSIDERABLEMENTE LA VELOCIDAD DEL VEHÍCULO SIN ADVERTIRLO PREVIAMENTE","200.0

100.0",CONDUCTOR,"NOTA: EN CASO DE INMINENTE PELIGRO SE PUEDE REDUCIR CONSIDERABLEMENTE LA VELOCIDAD DE UN VEHÍCULO E INCLUSO REALIZARLO DE FORMA BRUSCA, SI BIEN, EN TAL CASO, PODRÍAMOS ESTAR ANTE UN POSIBLE INCUMPLIMIENTO, POR PARTE DEL VEHÍCULO QUE CIRCULA DETRÁS DEL PRIMERO DE LO DISPUESTO EN EL
ARTÍCULO 54 RGCIRC.",CONDUCC. NEGLIGENT E
CIR  Art. 053 Apt. 1 Opc. 5B,LSV  Art. 022 Apt. 1 Opc. 5B,53022,11,5B,"

0","
GRAVE 076.- M)","REDUCIR BRUSCAMENTE LA VELOCIDAD PRODUCIENDO RIESGO DE COLISIÓN CON LOS VEHÍCULOS QUE
SUYO	","
200.0

100.0",CONDUCTOR,,"
CONDUCC. NEGLIGENT E"
CIR  Art. 054 Apt. 1 Opc. 5A,LSV  Art. 022 Apt. 2 Opc. 5A,54022,12,5A,"
4",GRAVE 076.- Ñ),"CIRCULAR DETRÁS DE OTRO VEHÍCULO SIN DEJAR ESPACIO LIBRE QUE LE PERMITA DETENERSE, SIN COLISIONAR, EN CASO DE FRENADA BRUSCA DEL QUE LE PRECEDE. (NO SE DENUNCIARÁ POR ESTOS CONCEPTOS A LOS CICLISTAS QUE CIRCULEN EN
GRUPO)","200.0

100.0",CONDUCTOR,"
NOTA: TODO CONDUCTOR DE VEHÍCULO DEBE MANTENERSE A UNA DISTANCIA DEL QUE LE PRECEDE QUE PERMITA AL QUE A SU VEZ LE SIGA ADELANTARLO CON SEGURIDAD (50 METROS PARA VEHÍCULOS CON MMA SUPERIOR A
3.500 KG Y AQUELLOS OTROS DE MÁS DE 10 METROS DE LONGITUD TOTAL)","
DISTANCIA SEGURIDAD"
CIR  Art. 054 Apt. 2 Opc. 5A,LSV  Art. 022 Apt. 3 Opc. 5A,54022,23,5A,"
0",GRAVE 076.- Ñ),"CIRCULAR CON EL VEHÍCULO RESEÑADO DETRÁS DE OTRO SIN SEÑALIZAR EL PROPÓSITO DE ADELANTARLO, MANTENIENDO UNA SEPARACIÓN QUE NO PERMITE, A SU VEZ, SER ADELANTADO POR EL QUE LE SIGUE CON SEGURIDAD (NO APLICABLE A CICLISTAS EN GRUPO, EN POBLADO, EN ZONA PROHIBIDA DE ADELANTAMIENTO O CON MAS DE 1 CARRIL PARA MISMO SENTIDO O CON
CIRCULACIÓN SATURADA)","200.0

100.0",CONDUCTOR,"
NOTA: VER NOTA ANTERIOR","
DISTANCIA SEGURIDAD"
CIR  Art. 054 Apt. 2 Opc. 5B,LSV  Art. 022 Apt. 3 Opc. 5B,54022,23,5B,0,"

GRAVE 076.- Ñ)","CIRCULAR CON EL VEHÍCULO CON MMA SUPERIOR A 3500 KG DETRÁS DE OTRO, SIN SEÑALIZAR SU PROPÓSITO DE ADELANTARLO, MANTENIENDO UNA SEPARACIÓN INFERIOR A 50
METROS","

200.0

100.0",CONDUCTOR,NOTA: VER NOTA DEL CIR 54 1 5A,"
DISTANCIA SEGURIDAD"
CIR  Art. 054 Apt. 2 Opc. 5C,LSV  Art. 022 Apt. 3 Opc. 5C,54022,23,5C,"
0",GRAVE 076.- Ñ),"CIRCULAR CON EL VEHÍCULO O CONJUNTO DE VEHÍCULOS DE MÁS DE 10 METROS DE LONGITUD TOTAL DETRÁS DE OTRO, SIN SEÑALAR SU PROPÓSITO DE ADELANTARLO, MANTENIENDO UNA SEPARACIÓN INFERIOR A 50
METROS.	","200.0

100.0",CONDUCTOR,"
NOTA: VER NOTA DEL CIR 54 1 5A","
DISTANCIA SEGURIDAD"
CIR  Art. 055 Apt. 1 Opc. 5A,LSV  Art. 022 Apt. 5 Opc. 5A,55022,15,5A,"
0","MUY GRAVE 077.-
G)",CELEBRAR UNA PRUEBA DEPORTIVA DE COMPETICIÓN SIN AUTORIZACIÓN,"500.0

250.0",CONDUCTOR ORGANIZACIÓN,"NOTA: LA AUTORIZACIÓN PREVIA, Y LA COMPETENCIA PARA EXPEDIR LA MISMA SE ENCUENTRAN CONTEMPLADOS EN EL ANEXO II DEL RGCIRC, HABIÉNDOSE REGULADO LA TRAMITACIÓN DE PETICIÓN DE DICHAS AUTORIZACIONES DE PRUEBAS DEPORTIVAS Y MARCHAS CICLISTAS, EN LO QUE CONCIERNE A LA JCT, EN LA INSTRUCCIÓNES DGT 04/TV
-42 Y 16/TV-91, DE 3 DE MAYO DE
2016.",CARENCIA AUT. PARA CIRCULAR
CIR  Art. 055 Apt. 1 Opc. 5B,LSV  Art. 022 Apt. 5 Opc. 5B,55022,15,5B,0,"MUY GRAVE 077.-
G)",CELEBRAR UNA MARCHA CICLISTA U OTRO EVENTO SIMILAR SIN AUTORIZACIÓN,"

500.0

250.0",CONDUCTOR ORGANIZACIÓN,"NOTA: SE ENTENDERÁ POR MARCHAS CICLISTAS ORGANIZADAS AQUELLAS ACTIVIDADES DE MÁS DE 50 CICLISTAS, ESTANDO REGULADO, TANTO EL CONTROL Y ORDEN DE LA MARCHA, COMO LAS OBLIGACIONES DE LOS PARTICIPANTES, ASÍ COMO LAS CONDICIONES DE CIRCULACIÓN Y COMPORTAMIENTO DE
AQUELLOS EN LOS ARTÍCULOS",CARENCIA AUT. PARA CIRCULAR
CIR  Art. 055 Apt. 1 Opc. 5C,LSV  Art. 070 Apt. 1 Opc. 5C,55070,11,5C,"
0","MUY GRAVE 077.-
G)","CELEBRAR UNA MARCHA CICLISTA U OTRO EVENTO SIMILAR CON AUTORIZACIÓN SIN MANTENER DURANTE SU DESARROLLO LOS REQUISITOS EXIGIDOS PARA SU OTORGAMIENTO. (DESCRIBIENDO A CONTINUACIÓN LOS DISTINTOS INCUMPLIMIENTOS DE LAS CONDICIONES INCLUIDAS EN SUDÍA EN DICHA AUTORIZACIÓN Y, SANCIONANDO POR DICHA CONDUCTA AL PROPIO
ORGANIZADOR.)","500.0

250.0",ORGANIZACIÓN,NOTA: SE ENTIENDE QUE COINCIDIRÁ CON LA PERSONA QUE SOLICITÓ EN SU DÍA LA AUTORIZACÓN.,CARENCIA AUT. PARA CIRCULAR
CIR  Art. 055 Apt. 2 Opc. 5A,LSV  Art. 022 Apt. 5 Opc. 5A,55022,25,5A,6,"

MUY GRAVE 077.-
G)","ENTABLAR UNA COMPETICIÓN DE VELOCIDAD EN LA VÍA PÚBLICA O DE USO PÚBLICO SIN ESTAR DEBIDAMENTE ACOTADA LA MISMA POR LA AUTORIDAD
COMPETENTE	","

500.0

250.0",CONDUCTOR,,CONDUCC. TEMERARIA
CIR  Art. 056 Apt. 1 Opc. 5A,LSV  Art. 023 Apt. 1 Opc. 5A,56023,11,5A,"

4","
GRAVE 076.- C)","

NO CEDER EL PASO EN INTERSECCIÓN SEÑALIZADA, OBLIGANDO AL CONDUCTOR DE OTRO VEHÍCULO QUE CIRCULA CON PRIORIDAD A FRENAR O MANIOBRAR BRUSCAMENTE","
200.0

100.0",CONDUCTOR,"NOTA: EN LAS INTERSECCIONES LA PREFERENCIA DE PASO SE VERIFICARÁ SIEMPRE ATENIÉNDOSE A LA SEÑALIZACIÓN QUE LA REGULE. A TALES EFECTOS, HABRÁ DE RESPETARSE LO ORDENADO POR UN AGENTE,(ART. 143 RGCIRC.) ASÍ COMO POR UN SEMÁFORO (ART. 146 RGCIRC.), O POR UNA SEÑAL DE PRIORIDAD
(ARTS. 149 Y 151 RGCIRC.) O SEÑAL DE CEDA EL PASO O STOP (ARTS.
151 Y 169 RGCIRC.)","
CEDA EL PASO"
CIR  Art. 056 Apt. 2 Opc. 5A,LSV  Art. 023 Apt. 1 Opc. 5A,56023,21,5A,4,"

GRAVE 076.- C)","NO CEDER EL PASO EN
INTERSECCIÓN REGULADA POR UN AGENTE DE LA CIRCULACIÓN, OBLIGANDO AL CONDUCTOR DE OTRO VEHÍCULO QUE CIRCULA CON PRIORIDAD A FRENAR O MANIOBRAR BRUSCAMENTE","

200.0

100.0",CONDUCTOR,,CEDA EL PASO
CIR  Art. 056 Apt. 3 Opc. 5A,LSV  Art. 023 Apt. 1 Opc. 5A,56023,31,5A,4,"

GRAVE 076.- C)","NO CEDER EL PASO EN
INTERSECCIÓN REGULADA POR SEMÁFOROS, OBLIGANDO AL CONDUCTOR DE OTRO VEHÍCULO QUE CIRCULA CON PRIORIDAD A FRENAR O MANIOBRAR BRÚSCAMENTE","

200.0

100.0",CONDUCTOR,,"

CEDA EL PASO"
CIR  Art. 056 Apt. 5 Opc. 5A,LSV  Art. 023 Apt. 1 Opc. 5A,56023,51,5A,4,"

GRAVE 076.- L)","NO CEDER EL PASO EN
INTERSECCIÓN REGULADA CON SEÑAL DE CEDA EL PASO, OBLIGANDO AL CONDUCTOR DE OTRO VEHÍCULO QUE CIRCULA CON PRIORIDAD A FRENAR O MANIOBRAR BRUSCAMENTE","

200.0

100.0",CONDUCTOR,,"

CEDA EL PASO"
CIR  Art. 056 Apt. 5 Opc. 5B,LSV  Art. 023 Apt. 1 Opc. 5B,56023,51,5B,4,"

GRAVE 076.- L)","NO CEDER EL PASO EN
INTERSECCIÓN REGULADA CON SEÑAL DE DETENCIÓN OBLIGATORIA, OBLIGANDO AL CONDUCTOR DE OTRO VEHÍCULO QUE CIRCULA CON PRIORIDAD A FRENAR O MANIOBRAR BRUSCAMENTE
(STOP)	","

200.0

100.0",CONDUCTOR,,"
STOP"
CIR  Art. 057 Apt. 1 Opc. 5B,LSV  Art. 023 Apt. 2 Opc. 5B,57023,1-A2,5B,"

4","
GRAVE 076.- C)","CIRCULAR POR UNA VÍA SIN PAVIMENTAR SIN CEDER EL PASO A OTRO VEHÍCULO QUE CIRCULA POR VÍA
PAVIMENTADA","
200.0

100.0",CONDUCTOR,,"
CEDA EL PASO"
CIR  Art. 057 Apt. 1 Opc. 5B,LSV  Art. 023 Apt. 2 Opc. 5B,57023,1-B2,5B,"
4",GRAVE 076.- C),NO RESPETAR LA PRIORIDAD DE PASO DE UN VEHÍCULO QUE CIRCULA POR RAÍLES,"200.0

100.0",CONDUCTOR,,"
CEDA EL PASO"
CIR  Art. 057 Apt. 1 Opc. 5C,LSV  Art. 023 Apt. 2 Opc. 5C,57023,1-C2,5C,4,"

GRAVE 076.- C)","
ACCEDER A UNA GLORIETA SIN RESPETAR LA PREFERENCIA DE PASO DE UN VEHÍCULO QUE CIRCULA POR LA MISMA","

200.0

100.0",CONDUCTOR,"NOTA: EN DEFECTO DE SEÑAL QUE REGULE LA PREFERENCIA DE PASO, EL CONDUCTOR ESTÁ OBLIGADO A CEDERLO A LOS VEHÍCULOS QUE SE APROXIMEN POR SU DERECHA, SALVO AQUELLOS SUPUESTOS CONTEMPLADOS EN LOS
CÓDIGOS-PRECEPTO DE ESTE ARTÍCULO.","

CEDA EL PASO"
CIR  Art. 057 Apt. 1 Opc. 5D,LSV  Art. 023 Apt. 3 Opc. 5D,57023,1-D3,5D,"

4","
GRAVE 076.- C)","ACCEDER A UNA AUTOPISTA O AUTOVÍA SIN RESPETAR LA PREFERENCIA DE PASO DE UN VEHÍCULO QUE CIRCULA
POR LA MISMA","
200.0

100.0",CONDUCTOR,,"
CEDA EL PASO"
CIR  Art. 057 Apt. 1 Opc. 5A,LSV  Art. 023 Apt. 2 Opc. 5A,57023,12,5A,4,"

GRAVE 076.- C)","
NO CEDER EL PASO EN UNA INTERSECCIÓN A UN VEHÍCULO QUE SE APROXIMA POR SU DERECHA","

200.0

100.0",CONDUCTOR,"NOTA: EN DEFECTO DE SEÑAL QUE REGULE LA PREFERENCIA DE PASO, EL CONDUCTOR ESTÁ OBLIGADO A CEDERLO A LOS VEHÍCULOS QUE SE APROXIMEN POR SU DERECHA, SALVO AQUELLOS SUPUESTOS CONTEMPLADOS EN LOS
CÓDIGOS-PRECEPTO DE ESTE ARTÍCULO.",CEDA EL PASO
CIR  Art. 058 Apt. 1 Opc. 5A,LSV  Art. 026 Apt. 1 Opc. 5A,58026,11,5A,"
0",GRAVE 076.- C),"
NO MOSTRAR CON SUFICIENTE ANTELACIÓN, POR SU FORMA DE CIRCULAR Y ESPECIALMENTE CON LA REDUCCIÓN PAULATINA DE LA VELOCIDAD, QUE VA A CEDER EL PASO EN UNA INTERSECCIÓN","200.0

100.0",CONDUCTOR,"NOTA: DEBERÁ DESCRIBIRSE, SUCINTAMENTE, LA FORMA DE CIRCULAR (ALTA VELOCIDAD, ACELERANDO, ETC) Y LA FORMA DE DETENERSE (RUIDO, DESPLAZAMIENTO DE GRAVILLA, BRUSQUEDAD, ETC) Y LA REACCIÓN QUE PRODUJO EN EL CONDUCTOR QUE CIRCULABA POR LA VÍA PREFERENTE (FRENAZO, MANIOBRA EVASIVA AL
VOLANTE, ETC).",CEDA EL PASO
CIR  Art. 059 Apt. 1 Opc. 5A,LSV  Art. 026 Apt. 2 Opc. 5A,59026,12,5A,"
0",GRAVE 076.- C),"

ENTRAR CON EL VEHÍCULO RESEÑADO EN UNA INTERSECCIÓN, QUEDANDO DETENIDO DE FORMA QUE IMPIDE U OBSTRUYE LA CIRCULACIÓN TRANSVERSAL","200.0

100.0",CONDUCTOR,"NOTA: NINGÚN CONDUCTOR, AUNQUE TENGA LA PRIORIDAD DE PASO EN ESOS MOMENTOS, DEBERÁ PENETRAR CON SU VEHÍCULO EN UNA INTERSECCIÓN O EN UN PASO PARA PEATONES O PARA CICLISTAS SI LA SITUACIÓN DE LA CIRCULACIÓN ES TAL QUE, PREVISIBLEMENTE, PUEDA QUEDAR DETENIDO DE FORMA QUE IMPIDA U
OBSTRUYA LA CIRCULACIÓN TRANSVERSAL.",CEDA EL PASO
CIR  Art. 059 Apt. 1 Opc. 5B,LSV  Art. 026 Apt. 2 Opc. 5B,59026,12,5B,0,"

GRAVE 076.- C)","ENTRAR CON EL VEHÍCULO RESEÑADO EN UN PASO DE
PEATONES O CICLISTAS, QUEDANDO DETENIDO DE FORMA QUE IMPIDE U OBSTRUYE LA CIRCULACIÓN
TRANSVERSAL","

200.0

100.0",CONDUCTOR,,"

CEDA EL PASO"
CIR  Art. 059 Apt. 2 Opc. 5A,LSV  Art. 026 Apt. 3 Opc. 5A,59026,23,5A,0,"

GRAVE 076.- C)","TENER DETENIDO EL VEHÍCULO EN INTERSECCIÓN REGULADA POR SEMÁFORO, OBSTACULIZANDO LA CIRCULACIÓN, Y NO SALIR DE AQUELLA LO ANTES POSIBLE, PUDIENDO HACERLO (TODO CONDUCTOR QUE TENGA DETENIDO SU VEHICULO EN UNA INTERSECCIÓN REGULADA POR SEMÁFORO Y LA SITUACIÓN DEL MISMO CONSTITUYA OBSTÁCULO
)	","

200.0

100.0",CONDUCTOR,"NOTA: DEBERÁ SALIR DE AQUELLA SIN ESPERAR A QUE SE PERMITA LA CIRCULACIÓN EN LA DIRECCIÓN QUE SE PROPONE TOMAR,SIEMPRE QUE AL HACERLO NO ENTORPEZCA LA MARCHA DE LOS DEMÁS USUARIOS QUE AVANCEN EN EL SENTIDO PERMITIDO.",CEDA EL PASO
CIR  Art. 060 Apt. 1 Opc. 5A,LSV  Art. 023 Apt. 3 Opc. 5A,60023,13,5A,"
0",GRAVE 076.- C),"

NO RESPETAR LA PRIORIDAD DE PASO DE OTRO VEHÍCULO QUE HA ENTRADO PRIMERO EN UN TRAMO ESTRECHO NO SEÑALIZADO AL EFECTO","200.0

100.0",CONDUCTOR,"NOTA: TODO CONDUCTOR, INDEPENDIENTEMENTE DEL VEHÍCULO QUE CONDUZCA, TENDRÁ QUE RECONOCER EL DERECHO DE PREFERENCIA DE PASO AL QUE HUBIESE ENTRADO PRIMERO EN UN TRAMO DE OBRAS O ESTRECHAMIENTO. EN CASO DE DUDA SOBRE DICHA CIRCUNSTANCIA, TENDRÁ LA PREFERENCIA EL VEHICULO CON MAYORES
DIFICULTADES DE MANIOBRA.",PRIORIDAD DE PASO
CIR  Art. 060 Apt. 2 Opc. 5A,LSV  Art. 023 Apt. 3 Opc. 5A,60023,23,5A,0,"

GRAVE 076.- C)","CIRCULAR CON UN VEHÍCULO, CABALLERÍAS O GANADO POR SITIO DISTINTO DEL SEÑALADO AL EFECTO, EN UNA VÍA DONDE SE ESTÁN EFECTUANDO OBRAS DE
REPARACIÓN","

200.0

100.0",CONDUCTOR,"NOTA: CUANDO LA REGLA ANTERIOR HUBIERA DE APLICARSE A VEHÍCULOS DEL MISMO TIPO, LA PREFERENCIA SE DECIDIRÁ POR EL QUE TUVIERA QUE DAR MARCHA ATRÁS MAYOR DISTANCIA Y, EN CASO DE IGUALDAD, POR EL QUE TUVIERA
MAYOR ANCHURA LONGITUD O MMA.","

PRIORIDAD DE PASO"
CIR  Art. 060 Apt. 4 Opc. 5A,LSV  Art. 023 Apt. 3 Opc. 5A,60023,43,5A,"
0",GRAVE 076.- C),"NO COLOCARSE DETRÁS DE OTRO VEHÍCULO QUE SE ENCUENTRA DETENIDO, ESPERANDO PARA PASAR, ANTE UNA OBRA DE REPARACIÓN DE LA VÍA, INTENTANDO SUPERAR LA MISMA SIN SEGUIR AL VEHÍCULO QUE TIENE
DELANTE","200.0

100.0",CONDUCTOR,,PRIORIDAD DE PASO
